AgentID,CallID,CustomerID,PickedUp,Duration,ProductSold,Agent_Name
0,7999,519,Yes,117,0,Michele Williams
0,7100,469,Yes,235,0,Michele Williams
0,3752,74,Yes,185,0,Michele Williams
0,3751,562,Yes,121,0,Michele Williams
0,6783,30,Yes,102,1,Michele Williams
0,6919,353,Yes,261,0,Michele Williams
0,2411,486,Yes,280,0,Michele Williams
0,680,837,No,0,0,Michele Williams
0,6332,799,Yes,186,0,Michele Williams
0,1279,44,Yes,164,0,Michele Williams
0,5331,10,No,0,0,Michele Williams
0,8277,720,Yes,229,0,Michele Williams
0,9116,967,Yes,215,0,Michele Williams
0,2768,779,No,0,0,Michele Williams
0,2416,289,Yes,67,0,Michele Williams
0,7149,897,No,0,0,Michele Williams
0,395,829,Yes,183,1,Michele Williams
0,450,275,No,0,0,Michele Williams
0,4690,636,No,0,0,Michele Williams
0,9368,81,Yes,154,1,Michele Williams
0,2624,123,Yes,171,1,Michele Williams
0,7169,848,No,0,0,Michele Williams
0,8789,602,No,0,0,Michele Williams
0,3750,3,No,0,0,Michele Williams
0,8033,595,Yes,110,0,Michele Williams
0,9372,512,No,0,0,Michele Williams
0,4240,1,Yes,148,0,Michele Williams
0,2978,857,Yes,215,0,Michele Williams
0,4567,870,Yes,244,0,Michele Williams
0,8417,260,Yes,214,0,Michele Williams
0,6928,160,Yes,69,0,Michele Williams
0,7689,519,No,0,0,Michele Williams
0,1531,428,Yes,199,1,Michele Williams
0,3002,363,Yes,123,1,Michele Williams
0,430,217,Yes,191,0,Michele Williams
0,2532,517,Yes,177,1,Michele Williams
0,4711,408,Yes,201,1,Michele Williams
0,1197,948,Yes,70,1,Michele Williams
0,2415,235,No,0,0,Michele Williams
0,947,825,Yes,227,1,Michele Williams
0,4890,170,Yes,75,0,Michele Williams
0,8660,836,Yes,215,0,Michele Williams
0,707,601,Yes,263,0,Michele Williams
0,3432,22,Yes,145,0,Michele Williams
0,7187,580,Yes,124,0,Michele Williams
0,7202,795,No,0,0,Michele Williams
0,7835,349,Yes,176,0,Michele Williams
0,7502,7,No,0,0,Michele Williams
0,3841,788,No,0,0,Michele Williams
0,7300,892,Yes,168,0,Michele Williams
0,2526,915,No,0,0,Michele Williams
0,3133,706,Yes,178,0,Michele Williams
0,5758,437,Yes,252,0,Michele Williams
0,6767,570,Yes,187,0,Michele Williams
0,3146,440,Yes,118,1,Michele Williams
0,1080,926,Yes,253,0,Michele Williams
0,6471,711,Yes,193,1,Michele Williams
0,4984,317,No,0,0,Michele Williams
0,6012,928,No,0,0,Michele Williams
0,8293,801,Yes,88,0,Michele Williams
0,4487,353,No,0,0,Michele Williams
0,7285,865,Yes,211,0,Michele Williams
0,7691,895,Yes,231,1,Michele Williams
0,2655,960,Yes,178,0,Michele Williams
0,8313,740,Yes,166,0,Michele Williams
0,2890,147,No,0,0,Michele Williams
0,6330,902,Yes,208,1,Michele Williams
0,9024,23,Yes,190,0,Michele Williams
0,5477,2,Yes,273,1,Michele Williams
0,4348,908,Yes,192,1,Michele Williams
0,7859,768,Yes,153,0,Michele Williams
0,1950,228,Yes,181,0,Michele Williams
0,5083,39,Yes,137,0,Michele Williams
0,1463,731,Yes,180,0,Michele Williams
0,220,317,Yes,119,0,Michele Williams
0,4072,1,Yes,187,0,Michele Williams
0,8058,76,Yes,153,1,Michele Williams
0,5318,82,No,0,0,Michele Williams
0,2656,4,Yes,121,0,Michele Williams
0,336,910,Yes,245,0,Michele Williams
0,3619,160,Yes,199,1,Michele Williams
0,6157,839,Yes,102,0,Michele Williams
0,2581,928,No,0,0,Michele Williams
0,4526,616,No,0,0,Michele Williams
0,7226,618,Yes,237,0,Michele Williams
0,1772,263,Yes,223,0,Michele Williams
0,4566,306,Yes,200,0,Michele Williams
0,2743,602,Yes,184,0,Michele Williams
0,8240,2,Yes,177,0,Michele Williams
0,6773,156,Yes,228,1,Michele Williams
0,2454,684,Yes,168,1,Michele Williams
